Agency,Descriptor,Resolved Type,Duration Type,Community Board,Cluster Labels
NYPD,Noise,fixed,"(0.069, 26.55]",09 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",09 MANHATTAN,10
NYPD,Noise,no_violation,"(0.069, 26.55]",11 MANHATTAN,6
NYPD,Other,no_violation,"(0.069, 26.55]",06 MANHATTAN,6
NYPD,Noise,no_violation,"(0.069, 26.55]",06 MANHATTAN,6
NYPD,Safety,no_violation,"(0.069, 26.55]",06 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",10 MANHATTAN,1
NYPD,Traffic,referred,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,fixed,"(0.069, 26.55]",11 MANHATTAN,10
NYPD,Noise,no_violation,"(26.55, 63.33]",07 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",06 MANHATTAN,2
NYPD,Noise,fixed,"(26.55, 63.33]",11 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,fixed,"(0.069, 26.55]",09 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,no_violation,"(26.55, 63.33]",04 MANHATTAN,2
NYPD,Traffic,no_violation,"(0.069, 26.55]",10 MANHATTAN,6
NYPD,Traffic,no_violation,"(26.55, 63.33]",10 MANHATTAN,8
NYPD,Noise,no_violation,"(26.55, 63.33]",10 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Other,info_needed,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,info_needed,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Traffic,info_needed,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,fixed,"(26.55, 63.33]",12 MANHATTAN,1
NYPD,Noise,fixed,"(0.069, 26.55]",12 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",09 MANHATTAN,10
NYPD,Noise,fixed,"(0.069, 26.55]",03 MANHATTAN,6
NYPD,Noise,fixed,"(26.55, 63.33]",08 MANHATTAN,1
NYPD,Noise,no_violation,"(26.55, 63.33]",03 MANHATTAN,2
NYPD,Noise,no_violation,"(26.55, 63.33]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,referred,"(0.069, 26.55]",09 MANHATTAN,6
NYPD,Noise,no_violation,"(63.33, 2677.65]",12 MANHATTAN,2
NYPD,Noise,no_violation,"(0.069, 26.55]",64 MANHATTAN,6
NYPD,Noise,fixed,"(26.55, 63.33]",02 MANHATTAN,1
